City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,okhotsk,59.3833,143.3,-26.04,79,100,2.53,RU,1704156016
111,diamantino,-14.4086,-56.4461,23.68,90,79,1.49,BR,1704156016
112,tanggu,39.0211,117.6469,-5.02,87,99,2.51,CN,1704156016
113,olonkinbyen,70.9221,-8.7187,0.08,99,100,5.0,SJ,1704156016
114,kourou,5.1552,-52.6478,25.03,83,6,4.23,GF,1704156016
115,turpan,42.9333,89.1667,-3.39,59,7,1.0,CN,1704156017
116,longyearbyen,78.2186,15.6401,-2.09,69,75,9.26,SJ,1704155797
117,puerto ayacucho,5.6639,-67.6236,28.27,68,100,1.89,VE,1704156017
118,constantia,44.1833,28.65,8.17,77,100,6.47,RO,1704156018
119,cartagena del chaira,1.3349,-74.8429,24.75,85,76,1.14,CO,1704156018
120,san patricio,28.017,-97.5169,16.92,65,100,4.35,US,1704156018
121,slavske,48.8473,23.4459,2.24,90,96,3.69,UA,1704156019
122,kodiak,57.79,-152.4072,3.73,93,100,11.32,US,1704156019
123,egilsstadir,65.2653,-14.3948,4.95,81,75,2.57,IS,1704156019
124,qaqortoq,60.7167,-46.0333,-11.15,74,100,3.15,GL,1704156019
125,holualoa,19.6228,-155.9522,25.91,77,40,5.66,US,1704156019
126,saqqez,36.2499,46.2735,2.63,62,100,0.84,IR,1704156020
127,portland,45.5234,-122.6762,8.02,83,75,5.14,US,1704155828
128,igarka,67.4667,86.5833,-27.67,100,93,1.48,RU,1704156020
129,taulaga,-11.0553,-171.0883,28.9,70,42,1.96,AS,1704156020
130,la sarre,48.8002,-79.1996,-5.18,73,98,5.59,CA,1704155958
131,lorengau,-2.0226,147.2712,29.93,68,91,1.4,PG,1704156021
132,hamilton,39.1834,-84.5333,3.01,81,100,3.09,US,1704155913
133,port alfred,-33.5906,26.891,18.99,90,97,2.24,ZA,1704156021
134,geraldton,-28.7667,114.6,23.23,60,0,7.2,AU,1704156000
135,mont-dore,-22.2833,166.5833,34.99,92,64,6.18,NC,1704156022
136,lapithos,35.3375,33.1792,11.16,71,100,0.7,CY,1704156022
137,kuacjok,8.3002,27.9903,23.05,25,5,2.6,SS,1704156022
138,klimovo,52.3805,32.1923,-2.65,97,100,6.73,RU,1704156022
139,port mathurin,-19.6833,63.4167,27.44,79,72,5.73,MU,1704156023
140,conde,-7.2597,-34.9075,23.7,94,0,1.54,BR,1704156023
141,belawan,3.7755,98.6832,25.16,87,100,1.97,ID,1704156023
142,guanica,17.9716,-66.908,26.08,48,26,1.04,PR,1704156024
143,kingston,17.997,-76.7936,26.53,89,75,5.14,JM,1704156024
144,colonia,50.9333,6.95,8.66,84,100,4.63,DE,1704156024
145,ebon,4.582,168.6964,28.54,79,9,8.26,MH,1704156024
146,hermanus,-34.4187,19.2345,19.89,88,0,5.5,ZA,1704156024
147,porto novo,6.4965,2.6036,26.14,83,19,2.99,BJ,1704155985
148,swift current,50.2834,-107.8014,-1.55,100,75,6.69,CA,1704155984
149,polyarnyy,69.1989,33.4478,-19.85,98,96,6.07,RU,1704156025
150,aasiaat,68.7098,-52.8699,-18.49,89,58,5.46,GL,1704156025
151,tecpan de galeana,17.25,-100.6833,22.28,68,2,1.67,MX,1704156026
152,asia,9.5506,122.5164,28.38,76,100,3.74,PH,1704156026
153,grand falls-windsor,48.9332,-55.6649,-6.39,78,3,0.45,CA,1704156026
154,st. john's,47.5649,-52.7093,-2.34,82,75,4.12,CA,1704155971
155,ambon,-3.6954,128.1814,31.08,74,40,1.03,ID,1704156026
156,hotan,37.0997,79.9269,-4.06,54,0,0.67,CN,1704156027
157,surin,14.8818,103.4936,20.21,72,47,3.89,TH,1704156027
158,ushuaia,-54.8,-68.3,11.81,82,0,3.6,AR,1704156027
159,sandnessjoen,66.0217,12.6316,-12.71,85,15,12.32,NO,1704156027
160,kalemie,-5.9475,29.1947,21.09,90,100,1.48,CD,1704156027
161,pimenta bueno,-11.6725,-61.1936,24.19,89,82,1.33,BR,1704156028
162,jalai nur,49.45,117.7,-21.2,99,31,1.28,CN,1704156028
163,margate,51.3813,1.3862,11.61,94,100,5.81,GB,1704155762
